NA_L1NAME,n,mean_resid,rmse
MARINE WEST COAST FOREST,53,372.096842994691,830.299939336172
NORTHERN FORESTS,1401,29.0509642675694,454.337368018551
NORTHWESTERN FORESTED MOUNTAINS,10726,9.68012189479154,600.370085327842
EASTERN TEMPERATE FORESTS,42580,0.887874285986063,484.187907210542
TEMPERATE SIERRAS,1109,-7.23399328807981,512.486736540077
GREAT PLAINS,989,-60.6484667258493,391.414808114802
MEDITERRANEAN CALIFORNIA,48,-81.0296704263811,938.124312007023
NORTH AMERICAN DESERTS,447,-247.42869710469,628.505127401354
SOUTHERN SEMI-ARID HIGHLANDS,23,-307.412089691872,808.313151092204
TROPICAL WET FORESTS,20,-434.56476323525,1318.9004954562
